仓库A,仓库B,距离(km)
邵阳县仓库,国网湖南物资公司衡阳周转库,173.3
邵阳县仓库,株洲攸县仓库,274.7
邵阳县仓库,衡阳衡东仓库,210.9
邵阳县仓库,国网湖南物资公司怀化周转库,200.5
邵阳县仓库,国网怀化中方芙蓉路仓库,204.6
邵阳县仓库,怀化芷江仓库,201.6
邵阳县仓库,怀化洪江市仓库,197.8
邵阳县仓库,怀化洪江区仓库,201.3
邵阳县仓库,邵阳洞口仓库,90.2
邵阳县仓库,怀化会同仓库,241.6
邵阳县仓库,怀化新晃仓库,257.3
邵阳县仓库,怀化靖州仓库,240.6
邵阳县仓库,邵阳武冈仓库,93.8
邵阳县仓库,邵阳绥宁仓库,179.1
邵阳县仓库,怀化通道仓库,241.2
邵阳县仓库,邵阳城步仓库,167.2
邵阳县仓库,国网湖南物资公司岳阳周转库,382.1
邵阳县仓库,岳阳云溪仓库,380
邵阳县仓库,岳阳君山仓库,409.1
邵阳县仓库,岳阳临湘仓库,402.9
邵阳县仓库,岳阳县仓库,355.8
邵阳县仓库,岳阳华容仓库,378.1
邵阳县仓库,岳阳汨罗仓库,318.9
邵阳县仓库,岳阳湘阴仓库,295.8
邵阳县仓库,岳阳平江仓库,368.1
娄底冷水江仓库,娄底涟源仓库,37.2
娄底冷水江仓库,邵阳隆回仓库,113.1
娄底冷水江仓库,娄底新化仓库,16.2
娄底冷水江仓库,娄底双峰仓库,106.5
娄底冷水江仓库,国网湖南物资公司娄底周转库,76.1
娄底冷水江仓库,衡阳县仓库,155.5
娄底冷水江仓库,衡阳祁东仓库,182
娄底冷水江仓库,国网湖南物资公司常德周转库,221.1
娄底冷水江仓库,常德鼎城仓库,214.3
娄底冷水江仓库,常德汉寿仓库,227.1
娄底冷水江仓库,常德桃源仓库,216.6
娄底冷水江仓库,常德临澧仓库,276.9
娄底冷水江仓库,益阳桃江仓库,196
娄底冷水江仓库,常德安乡仓库,284.7
娄底冷水江仓库,常德津市仓库,284.9
娄底冷水江仓库,张家界慈利仓库,290.6
娄底冷水江仓库,益阳沅江仓库,232.3
娄底冷水江仓库,常德澧县仓库,291
娄底冷水江仓库,国网湖南物资公司常德石门仓库,299
娄底冷水江仓库,益阳南县仓库,288.6
娄底冷水江仓库,益阳安化仓库,130.1
娄底冷水江仓库,永州冷水滩仓库,166.7
娄底冷水江仓库,国网湖南物资公司永州周转库,183.8
娄底冷水江仓库,永州零陵仓库,206.7
娄底冷水江仓库,永州东安仓库,188.7
娄底冷水江仓库,永州祁阳仓库,189.8
娄底冷水江仓库,永州双牌仓库,232.5
娄底冷水江仓库,永州新田仓库,277.5
娄底冷水江仓库,永州道县仓库,288.5
娄底冷水江仓库,邵阳新宁仓库,184.7
娄底冷水江仓库,永州宁远仓库,286.8
娄底冷水江仓库,永州蓝山仓库,315
娄底冷水江仓库,郴州嘉禾仓库,323.7
娄底冷水江仓库,永州江华仓库,386.3
娄底冷水江仓库,永州江永仓库,388.4
娄底冷水江仓库,国网湖南物资公司长沙周转库,197.4
娄底冷水江仓库,长沙县仓库,220.9
娄底冷水江仓库,长沙望城仓库,203.9
娄底冷水江仓库,长沙宁乡仓库,181.2
娄底冷水江仓库,国网湖南物资公司株洲周转库,212.3
娄底冷水江仓库,国网湖南物资公司湘潭周转库,187.2
娄底冷水江仓库,湘潭韶山仓库,144.2
娄底冷水江仓库,湘潭县仓库,182.4
娄底冷水江仓库,国网湖南物资公司益阳周转库,186.4
娄底冷水江仓库,湘潭湘乡仓库,132.9
娄底冷水江仓库,长沙浏阳仓库,273.6
娄底冷水江仓库,株洲醴陵仓库,233
娄底冷水江仓库,衡阳衡山仓库,227.3
娄底冷水江仓库,国网湖南物资公司湘西周转库,271
娄底冷水江仓库,湘西凤凰仓库,272
娄底冷水江仓库,湘西古丈仓库,318.4
娄底冷水江仓库,怀化麻阳仓库,221.2
娄底冷水江仓库,湘西泸溪仓库,212.3
娄底冷水江仓库,湘西保靖仓库,355.4
娄底冷水江仓库,怀化沅陵仓库,210.8
娄底冷水江仓库,怀化辰溪仓库,183.8
娄底冷水江仓库,湘西永顺仓库,383.9
娄底冷水江仓库,张家界周转库,369.1
娄底冷水江仓库,怀化溆浦仓库,129.5
娄底冷水江仓库,湘西龙山仓库,444.4
